Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri May 22 10:16:31 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,   3,BL,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,RO, ,CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,   4,BL,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,AQ, ,CH 2306
I-80&CANAL,288-SMF I-215 DIST: SR-201 - N TEMPLE,   5,BL,SL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,BL, ,
I-80&CANAL,288-SMF I-215 DIST: SR-201 - N TEMPLE,   6,BL,WH,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,OR, ,
HUB2-18(TOOELE_I-80&SR-36),288-SMF I-215 DIST: SR-201 - N TEMPLE,  13,OR,BL,<->,288-SMF I-215 DIST: 500 S - I-80,  24,OR,AQ,HUB2-6(CALIFORNIA_AVE),[ATMS BB] 2-06 - 2-18
HUB2-18(TOOELE_I-80&SR-36),288-SMF I-215 DIST: SR-201 - N TEMPLE,  15,OR,GR,<->,288-SMF I-215 DIST: 500 S - I-80,  25,GR,BL,HUB2-6(CALIFORNIA_AVE),[ATMS BB] 2-06 - 2-18
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  19,OR,RD,<->,288-SMF I-215 DIST: 500 S - I-80,  19,OR,RD,HUB2-6(CALIFORNIA_AVE),CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  20,OR,BK,<->,288-SMF I-215 DIST: 500 S - I-80,  20,OR,BK,HUB2-6(CALIFORNIA_AVE),CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  21,OR,YL,<->,288-SMF I-215 DIST: 500 S - I-80,  13,OR,BL,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  22,OR,VI,<->,288-SMF I-215 DIST: 500 S - I-80,  14,OR,OR,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  23,OR,RO,<->,288-SMF I-215 DIST: 500 S - I-80,  15,OR,GR,HUB2-6(CALIFORNIA_AVE),CH 2306
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  24,OR,AQ,<->,288-SMF I-215 DIST: 500 S - I-80,  16,OR,BR,HUB2-6(CALIFORNIA_AVE),CH 2306
SP-5600WI-80,288-SMF I-215 DIST: SR-201 - N TEMPLE,  25,GR,BL,<->,288-SMF I-215 DIST: 500 S - I-80,  17,OR,SL,HUB2-6(CALIFORNIA_AVE),
SP-5600WI-80,288-SMF I-215 DIST: SR-201 - N TEMPLE,  26,GR,OR,<->,288-SMF I-215 DIST: 500 S - I-80,  18,OR,WH,HUB2-6(CALIFORNIA_AVE),
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,  27,GR,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,GR, ,CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,  28,GR,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,BR, ,CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  31,GR,RD,<->,288-SMF I-215 DIST: 500 S - I-80,  43,BR,RD,HUB2-6(CALIFORNIA_AVE),CH 2004
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE,  32,GR,BK,<->,288-SMF I-215 DIST: 500 S - I-80,  44,BR,BK,HUB2-6(CALIFORNIA_AVE),CH 2004
